zona,hora,dia_semana,clima,evento_especial,nivel_trafico
Zona 12,14,Miércoles,Nublado,0,Moderado
Zona 10,22,Miércoles,Soleado,0,Bajo
Periférico,20,Martes,Nublado,1,Moderado
Zona 12,20,Lunes,Soleado,0,Bajo
Zona 1,9,Jueves,Lluvia,0,Alto
Periférico,18,Jueves,Soleado,0,Alto
Calzada Roosevelt,18,Domingo,Soleado,0,Moderado
Zona 12,13,Martes,Soleado,0,Moderado
Zona 12,14,Jueves,Soleado,0,Moderado
Zona 10,13,Lunes,Soleado,0,Moderado
Periférico,5,Sábado,Soleado,0,Bajo
Zona 4,11,Martes,Soleado,1,Moderado
Periférico,22,Jueves,Soleado,0,Bajo
Zona 4,14,Viernes,Nublado,1,Moderado
Zona 1,14,Viernes,Soleado,1,Moderado
Zona 12,7,Domingo,Nublado,0,Moderado
Zona 10,0,Miércoles,Soleado,0,Bajo
Zona 12,6,Lunes,Nublado,0,Alto
Periférico,23,Viernes,Nublado,0,Moderado
Zona 10,0,Miércoles,Soleado,0,Bajo
Calzada Roosevelt,22,Domingo,Soleado,0,Bajo
Zona 4,9,Jueves,Soleado,0,Moderado
Zona 1,19,Viernes,Soleado,1,Alto
Calzada Roosevelt,14,Miércoles,Soleado,1,Alto
Zona 10,18,Sábado,Lluvia,0,Alto
Zona 1,20,Sábado,Soleado,0,Bajo
Periférico,10,Martes,Soleado,0,Moderado
Zona 1,0,Lunes,Nublado,0,Bajo
Zona 1,2,Domingo,Soleado,0,Bajo
Calzada Roosevelt,0,Miércoles,Soleado,0,Moderado
Periférico,23,Lunes,Soleado,0,Bajo
Zona 12,11,Sábado,Nublado,0,Bajo
Zona 1,23,Lunes,Soleado,1,Moderado
Calzada Roosevelt,0,Lunes,Soleado,0,Bajo
Periférico,22,Jueves,Soleado,0,Bajo
Periférico,23,Viernes,Nublado,0,Moderado
Zona 1,8,Jueves,Soleado,0,Alto
Zona 12,3,Miércoles,Nublado,0,Moderado
Zona 12,8,Lunes,Soleado,0,Moderado
Zona 10,17,Domingo,Soleado,0,Moderado
Zona 12,15,Martes,Lluvia,0,Moderado
Zona 4,0,Sábado,Lluvia,1,Moderado
Zona 1,8,Miércoles,Nublado,0,Alto
Zona 1,23,Jueves,Soleado,0,Bajo
Zona 12,2,Sábado,Lluvia,1,Moderado
Periférico,17,Martes,Nublado,0,Alto
Zona 12,0,Jueves,Soleado,0,Bajo
Zona 10,16,Lunes,Soleado,0,Moderado
Periférico,13,Sábado,Lluvia,0,Moderado
Zona 10,1,Viernes,Soleado,0,Bajo
Calzada Roosevelt,15,Miércoles,Nublado,0,Moderado
Zona 12,13,Viernes,Lluvia,0,Moderado
Calzada Roosevelt,16,Sábado,Lluvia,1,Alto
Zona 12,20,Domingo,Soleado,0,Bajo
